15,2,-4,1.25,3,-1.5
20,2,-4,1.25,3.25,-2.5
30,2,-4,1.25,3.25,-2.25
27,2,-4,1.25,3.25,-2
39,2,-4,1.25,3.25,-1.75
34,2,-4,1.25,3.25,-1.5
32,2,-4,1.25,3.5,-2.5
39,2,-4,1.25,3.5,-2.25
26,2,-4,1.25,3.5,-2
25,2,-4,1.25,3.5,-1.75
26,2,-4,1.25,3.5,-1.5
70,2,-4,1.25,3.75,-2.5
73,2,-4,1.25,3.75,-2.25
52,2,-4,1.25,3.75,-2
51,2,-4,1.25,3.75,-1.75
41,2,-4,1.25,3.75,-1.5
22,2,-4,1.25,4,-2.5
16,2,-4,1.25,4,-2.25
34,2,-4,1.25,4,-2
29,2,-4,1.25,4,-1.75
45,2,-4,1.25,4,-1.5
27,2,-4,1.25,4.25,-2.5
16,2,-4,1.25,4.25,-2.25
205,2,-4,1.25,4.25,-2
38,2,-4,1.25,4.25,-1.75
45,2,-4,1.25,4.25,-1.5
33,2,-4,1.25,4.5,-2.5
23,2,-4,1.25,4.5,-2.25
16,2,-4,1.25,4.5,-2
18,2,-4,1.25,4.5,-1.75
50,2,-4,1.25,4.5,-1.5
26,2,-4,1.25,4.75,-2.5
23,2,-4,1.25,4.75,-2.25
18,2,-4,1.25,4.75,-2
18,2,-4,1.25,4.75,-1.75
23,2,-4,1.25,4.75,-1.5
27,2,-4,1.25,5,-2.5
41,2,-4,1.25,5,-2.25
16,2,-4,1.25,5,-2
18,2,-4,1.25,5,-1.75
20,2,-4,1.25,5,-1.5
27,2,-4,1.5,2,-2.5
16,2,-4,1.5,2,-2.25
30,2,-4,1.5,2,-2
35,2,-4,1.5,2,-1.75
22,2,-4,1.5,2,-1.5
16,2,-4,1.5,2.25,-2.5
26,2,-4,1.5,2.25,-2.25
14,2,-4,1.5,2.25,-2
32,2,-4,1.5,2.25,-1.75
23,2,-4,1.5,2.25,-1.5
100,2,-4,1.5,2.5,-2.5
34,2,-4,1.5,2.5,-2.25
47,2,-4,1.5,2.5,-2
37,2,-4,1.5,2.5,-1.75
42,2,-4,1.5,2.5,-1.5
27,2,-4,1.5,2.75,-2.5
43,2,-4,1.5,2.75,-2.25
33,2,-4,1.5,2.75,-2
44,2,-4,1.5,2.75,-1.75
22,2,-4,1.5,2.75,-1.5
22,2,-4,1.5,3,-2.5
21,2,-4,1.5,3,-2.25
23,2,-4,1.5,3,-2
36,2,-4,1.5,3,-1.75
31,2,-4,1.5,3,-1.5
22,2,-4,1.5,3.25,-2.5
26,2,-4,1.5,3.25,-2.25
18,2,-4,1.5,3.25,-2
22,2,-4,1.5,3.25,-1.75
26,2,-4,1.5,3.25,-1.5
30,2,-4,1.5,3.5,-2.5
22,2,-4,1.5,3.5,-2.25
18,2,-4,1.5,3.5,-2
22,2,-4,1.5,3.5,-1.75
26,2,-4,1.5,3.5,-1.5
19,2,-4,1.5,3.75,-2.5
19,2,-4,1.5,3.75,-2.25
40,2,-4,1.5,3.75,-2
67,2,-4,1.5,3.75,-1.75
27,2,-4,1.5,3.75,-1.5
20,2,-4,1.5,4,-2.5
35,2,-4,1.5,4,-2.25
17,2,-4,1.5,4,-2
33,2,-4,1.5,4,-1.75
28,2,-4,1.5,4,-1.5
17,2,-4,1.5,4.25,-2.5
29,2,-4,1.5,4.25,-2.25
27,2,-4,1.5,4.25,-2
31,2,-4,1.5,4.25,-1.75
42,2,-4,1.5,4.25,-1.5
62,2,-4,1.5,4.5,-2.5
17,2,-4,1.5,4.5,-2.25
23,2,-4,1.5,4.5,-2
17,2,-4,1.5,4.5,-1.75
13,2,-4,1.5,4.5,-1.5
19,2,-4,1.5,4.75,-2.5
14,2,-4,1.5,4.75,-2.25
47,2,-4,1.5,4.75,-2
28,2,-4,1.5,4.75,-1.75
13,2,-4,1.5,4.75,-1.5
123,2,-4,1.5,5,-2.5
13,2,-4,1.5,5,-2.25
28,2,-4,1.5,5,-2
19,2,-4,1.5,5,-1.75
15,2,-4,1.5,5,-1.5
37,2,-4,1.75,2,-2.5
21,2,-4,1.75,2,-2.25
31,2,-4,1.75,2,-2
41,2,-4,1.75,2,-1.75
39,2,-4,1.75,2,-1.5
27,2,-4,1.75,2.25,-2.5
21,2,-4,1.75,2.25,-2.25
40,2,-4,1.75,2.25,-2
32,2,-4,1.75,2.25,-1.75
30,2,-4,1.75,2.25,-1.5
32,2,-4,1.75,2.5,-2.5
21,2,-4,1.75,2.5,-2.25
27,2,-4,1.75,2.5,-2
36,2,-4,1.75,2.5,-1.75
21,2,-4,1.75,2.5,-1.5
14,2,-4,1.75,2.75,-2.5
14,2,-4,1.75,2.75,-2.25
21,2,-4,1.75,2.75,-2
61,2,-4,1.75,2.75,-1.75
39,2,-4,1.75,2.75,-1.5
19,2,-4,1.75,3,-2.5
30,2,-4,1.75,3,-2.25
19,2,-4,1.75,3,-2
95,2,-4,1.75,3,-1.75
43,2,-4,1.75,3,-1.5
16,2,-4,1.75,3.25,-2.5
38,2,-4,1.75,3.25,-2.25
21,2,-4,1.75,3.25,-2
45,2,-4,1.75,3.25,-1.75
43,2,-4,1.75,3.25,-1.5
55,2,-4,1.75,3.5,-2.5
20,2,-4,1.75,3.5,-2.25
43,2,-4,1.75,3.5,-2
32,2,-4,1.75,3.5,-1.75
35,2,-4,1.75,3.5,-1.5
50,2,-4,1.75,3.75,-2.5
36,2,-4,1.75,3.75,-2.25
30,2,-4,1.75,3.75,-2
47,2,-4,1.75,3.75,-1.75
41,2,-4,1.75,3.75,-1.5
22,2,-4,1.75,4,-2.5
27,2,-4,1.75,4,-2.25
32,2,-4,1.75,4,-2
37,2,-4,1.75,4,-1.75
35,2,-4,1.75,4,-1.5
28,2,-4,1.75,4.25,-2.5
26,2,-4,1.75,4.25,-2.25
35,2,-4,1.75,4.25,-2
16,2,-4,1.75,4.25,-1.75
23,2,-4,1.75,4.25,-1.5
23,2,-4,1.75,4.5,-2.5
26,2,-4,1.75,4.5,-2.25
19,2,-4,1.75,4.5,-2
27,2,-4,1.75,4.5,-1.75
39,2,-4,1.75,4.5,-1.5
19,2,-4,1.75,4.75,-2.5
13,2,-4,1.75,4.75,-2.25
42,2,-4,1.75,4.75,-2
43,2,-4,1.75,4.75,-1.75
27,2,-4,1.75,4.75,-1.5
32,2,-4,1.75,5,-2.5
25,2,-4,1.75,5,-2.25
50,2,-4,1.75,5,-2
18,2,-4,1.75,5,-1.75
53,2,-4,1.75,5,-1.5
21,2,-3.75,0.75,2,-2.5
22,2,-3.75,0.75,2,-2.25
27,2,-3.75,0.75,2,-2
31,2,-3.75,0.75,2,-1.75
46,2,-3.75,0.75,2,-1.5
27,2,-3.75,0.75,2.25,-2.5
19,2,-3.75,0.75,2.25,-2.25
39,2,-3.75,0.75,2.25,-2
24,2,-3.75,0.75,2.25,-1.75
105,2,-3.75,0.75,2.25,-1.5
61,2,-3.75,0.75,2.5,-2.5
19,2,-3.75,0.75,2.5,-2.25
