230 -> 36, -5, 1.75, 4, -2
232 -> 36, -5, 0.25, 4, -2
239 -> 36, -5, 1.75, 3, -2
244 -> 36, -4, 1.25, 2, -2
246 -> 36, -5, 1.25, 1, -2
251 -> 36, -4, 1.75, 1, -1.5
251 -> 36, -5, 1.75, 1, -2
257 -> 36, -2, 1.75, 4, -1.5
260 -> 36, -3, 1.75, 3, -0.5
261 -> 36, -3, 0.75, 1, -1
262 -> 36, -3, 1.75, 2, -1.5
263 -> 36, -5, 0.75, 4, -2
264 -> 36, -4, 1.75, 2, -2
264 -> 36, -5, 1.75, 3, -1
265 -> 36, -5, 1.25, 1, -1.5
266 -> 36, -3, 1.75, 4, -2
266 -> 36, -2, 1.75, 2, -1.5
267 -> 36, -5, 0.75, 2, -1.5
268 -> 36, -2, 1.25, 5, -2
269 -> 36, -4, 1.75, 5, -2
271 -> 36, -3, 1.75, 5, -2
272 -> 36, -2, 1.25, 4, -2
272 -> 36, -5, 1.75, 5, -2
273 -> 36, -4, 1.75, 4, -2
273 -> 36, -2, 1.75, 1, -2
274 -> 36, -4, 1.25, 4, -1
276 -> 36, -5, 0.75, 3, -1.5
276 -> 36, -3, 1.75, 4, -1.5
277 -> 36, -5, 0.25, 5, -0.5
280 -> 36, -4, 1.75, 5, -0.5
281 -> 36, -4, 0.75, 2, -1.5
281 -> 36, -3, 1.75, 4, -1
283 -> 36, -4, 0.75, 4, -2
284 -> 36, -2, 1.25, 4, -1.5
284 -> 36, -1, 1.75, 2, -2
285 -> 36, -4, 1.75, 4, -1.5
286 -> 36, -4, 1.25, 3, -1
287 -> 36, -5, 0.25, 1, -2
287 -> 36, -4, 1.75, 2, -1.5
287 -> 36, -5, 1.25, 3, -1.5
288 -> 36, -5, 1.25, 2, -2
288 -> 36, -2, 1.75, 2, -2
289 -> 36, -2, 1.75, 3, -1.5
291 -> 36, -4, 0.25, 1, -2
291 -> 36, -1, 1.75, 2, -1.5
292 -> 36, -4, 0.75, 3, -2
292 -> 36, -3, 1.25, 1, -1.5
292 -> 36, -2, 1.25, 3, -1
292 -> 36, -3, 1.75, 5, -0.5
294 -> 36, -5, 1.25, 4, -1
296 -> 36, -3, 1.25, 4, -2
297 -> 36, -1, 1.25, 1, -1.5
297 -> 36, -3, 1.75, 2, -1
297 -> 36, -2, 1.75, 1, -1.5
298 -> 36, -4, 1.75, 3, -1
298 -> 36, -4, 1.25, 1, -2
298 -> 36, -2, 1.75, 5, -1.5
298 -> 36, -4, 1.25, 2, -1
299 -> 36, -5, 0.25, 3, -1.5
299 -> 36, -3, 1.25, 3, -2
299 -> 36, -1, 0.75, 3, -2
299 -> 36, -5, 0.75, 1, -1.5
299 -> 36, -4, 1.25, 5, -1.5
300 -> 36, -4, 1.75, 3, -2
301 -> 36, -2, 0.25, 2, -2
303 -> 36, -2, 1.25, 2, -1
305 -> 36, -4, 0.75, 2, -2
305 -> 36, -4, 0.75, 1, -2
305 -> 36, -5, 0.75, 3, -2
305 -> 36, -3, 1.75, 3, -2
305 -> 36, -3, 1.25, 3, -1.5
306 -> 36, -2, 1.75, 3, -0.5
306 -> 36, -2, 1.25, 5, -1.5
306 -> 36, -2, 1.25, 4, -1
307 -> 36, -2, 0.25, 1, -2
308 -> 36, -1, 1.75, 4, -1.5
308 -> 36, -5, 0.75, 5, -2
309 -> 36, -3, 1.75, 1, -1
309 -> 36, -1, 1.25, 5, -1
310 -> 36, -3, 1.75, 2, -2
310 -> 36, -1, 0.75, 5, -1.5
311 -> 36, -4, 0.25, 4, -1.5
311 -> 36, -3, 0.25, 4, -1
312 -> 36, -3, 1.75, 4, -0.5
312 -> 36, -2, 1.75, 3, -2
