127 -> 23, -5, 1.75, 4, -1
151 -> 23, -1, 1.75, 4, -2
161 -> 23, -5, 1.25, 1, -1.5
162 -> 23, -5, 1.75, 3, -2
164 -> 23, -5, 1.75, 2, -2
167 -> 23, -4, 1.25, 2, -2
171 -> 23, -5, 1.75, 3, -1.5
172 -> 23, -5, 1.75, 4, -2
175 -> 23, -4, 1.25, 2, -1.5
182 -> 23, -3, 1.75, 5, -2
183 -> 23, -4, 1.75, 2, -1
183 -> 23, -4, 1.75, 2, -2
186 -> 23, -3, 1.75, 3, -2
187 -> 23, -5, 1.25, 4, -1
191 -> 23, -3, 0.75, 5, -1
194 -> 23, -4, 1.75, 2, -0.5
194 -> 23, -4, 1.75, 1, -2
197 -> 23, -5, 1.75, 5, -1.5
199 -> 23, -3, 1.75, 4, -1.5
199 -> 23, -4, 1.75, 5, -2
200 -> 23, -5, 0.75, 5, -1
201 -> 23, -3, 0.75, 1, -2
203 -> 23, -3, 1.75, 3, -1.5
203 -> 23, -2, 1.75, 1, -1.5
204 -> 23, -4, 1.25, 1, -2
204 -> 23, -3, 1.25, 1, -2
206 -> 23, -3, 0.75, 4, -1.5
208 -> 23, -3, 1.75, 4, -2
210 -> 23, -2, 1.25, 3, -1
211 -> 23, -5, 1.25, 1, -1
212 -> 23, -5, 1.25, 3, -2
212 -> 23, -4, 1.25, 3, -1.5
212 -> 23, -2, 1.75, 1, -2
212 -> 23, -4, 1.75, 3, -2
212 -> 23, -3, 1.75, 1, -1.5
213 -> 23, -3, 1.25, 5, -1.5
214 -> 23, -2, 1.75, 4, -1.5
216 -> 23, -5, 1.25, 5, -2
217 -> 23, -2, 1.25, 5, -2
217 -> 23, -3, 1.25, 3, -1.5
218 -> 23, -4, 1.25, 4, -2
219 -> 23, -5, 1.25, 4, -2
219 -> 23, -3, 1.25, 3, -2
220 -> 23, -2, 1.75, 5, -1
220 -> 23, -3, 1.25, 4, -2
220 -> 23, -4, 1.25, 4, -1.5
221 -> 23, -3, 0.25, 2, -1.5
221 -> 23, -2, 1.25, 4, -1.5
221 -> 23, -5, 1.25, 3, -1
221 -> 23, -5, 1.75, 2, -1.5
222 -> 23, -2, 1.75, 2, -1
222 -> 23, -3, 0.25, 3, -1.5
222 -> 23, -4, 1.75, 2, -1.5
222 -> 23, -4, 1.25, 3, -2
223 -> 23, -4, 1.25, 4, -1
223 -> 23, -2, 1.75, 3, -2
224 -> 23, -2, 1.75, 3, -1
225 -> 23, -5, 0.25, 2, -1
225 -> 23, -3, 0.75, 4, -1
225 -> 23, -5, 1.25, 5, -1
226 -> 23, -2, 1.75, 4, -1
227 -> 23, -3, 0.75, 3, -1
228 -> 23, -4, 0.75, 1, -1.5
228 -> 23, -2, 1.75, 2, -1.5
228 -> 23, -3, 1.25, 5, -0.5
229 -> 23, -2, 1.25, 4, -2
229 -> 23, -3, 1.75, 2, -1.5
230 -> 23, -1, 1.75, 2, -2
230 -> 23, -4, 1.75, 4, -2
232 -> 23, -3, 0.75, 5, -2
232 -> 23, -4, 1.75, 5, -1
233 -> 23, -1, 1.25, 3, -2
234 -> 23, -3, 0.25, 5, -1.5
234 -> 23, -4, 1.75, 5, -0.5
234 -> 23, -3, 1.25, 4, -0.5
235 -> 23, -3, 1.25, 1, -1
235 -> 23, -5, 1.25, 2, -1.5
235 -> 23, -3, 0.25, 2, -2
236 -> 23, -3, 0.75, 3, -1.5
236 -> 23, -2, 1.75, 5, -1.5
237 -> 23, -5, 1.75, 5, -2
238 -> 23, -4, 1.25, 3, -1
238 -> 23, -5, 1.75, 1, -1.5
239 -> 23, -3, 1.75, 1, -0.5
240 -> 23, -2, 1.75, 2, -2
240 -> 23, -4, 1.75, 1, -0.5
240 -> 23, -4, 1.75, 4, -0.5
241 -> 23, -1, 1.75, 3, -2
241 -> 23, -2, 1.75, 1, -0.5
242 -> 23, -1, 1.25, 4, -2
242 -> 23, -1, 1.75, 1, -1.5
242 -> 23, -3, 0.75, 1, -1.5
243 -> 23, -3, 1.75, 2, -2
244 -> 23, -4, 1.75, 3, -0.5
244 -> 23, -2, 1.25, 3, -1.5
245 -> 23, -2, 0.75, 3, -2
245 -> 23, -2, 0.75, 1, -1
246 -> 23, -5, 1.75, 1, -1
247 -> 23, -2, 0.25, 1, -2
248 -> 23, -2, 1.75, 3, -1.5
249 -> 23, -3, 1.75, 1, -1
249 -> 23, -2, 1.25, 1, -0.5
249 -> 23, -4, 1.25, 5, -1.5
249 -> 23, -4, 0.75, 5, -1.5
249 -> 23, -2, 1.75, 5, -0.5
250 -> 23, -4, 1.25, 3, -0.5
250 -> 23, -1, 1.75, 5, -1.5
251 -> 23, -2, 0.75, 1, -2
252 -> 23, -5, 1.75, 4, -1.5
252 -> 23, -5, 0.75, 4, -2
253 -> 23, -4, 1.75, 1, -1
254 -> 23, -4, 1.25, 5, -1
254 -> 23, -3, 1.25, 1, -1.5
255 -> 23, -2, 0.75, 4, -2
255 -> 23, -1, 1.75, 1, -2
257 -> 23, -1, 1.75, 1, -1
257 -> 23, -4, 0.75, 2, -1.5
257 -> 23, -5, 0.75, 2, -1
257 -> 23, -2, 1.25, 1, -1.5
257 -> 23, -2, 1.25, 2, -2
258 -> 23, -4, 1.25, 1, -1
259 -> 23, -2, 1.75, 5, -2
259 -> 23, -2, 1.75, 4, -2
259 -> 23, -5, 0.75, 3, -1
260 -> 23, -5, 1.25, 1, -2
260 -> 23, -2, 0.75, 2, -2
260 -> 23, -5, 1.25, 1, -0.5
262 -> 23, -1, 1.75, 5, -2
263 -> 23, -3, 1.75, 5, -1
264 -> 23, -4, 1.75, 1, -1.5
264 -> 23, -2, 0.75, 5, -2
264 -> 23, -2, 1.75, 4, -0.5
264 -> 23, -4, 1.25, 1, -1.5
264 -> 23, -2, 1.25, 2, -0.5
264 -> 23, -1, 1.75, 5, -1
265 -> 23, -1, 0.75, 4, -1
265 -> 23, -3, 1.75, 4, -0.5
266 -> 23, -1, 1.75, 3, -1
267 -> 23, -5, 1.75, 5, -1
268 -> 23, -1, 1.25, 3, -1.5
268 -> 23, -1, 1.25, 4, -1.5
269 -> 23, -1, 0.25, 5, -1.5
270 -> 23, -3, 0.25, 4, -2
270 -> 23, -3, 0.25, 5, -2
270 -> 23, -2, 1.25, 2, -1.5
270 -> 23, -1, 0.25, 2, -2
270 -> 23, -2, 1.25, 5, -1.5
270 -> 23, -1, 0.75, 4, -2
271 -> 23, -3, 1.25, 5, -2
271 -> 23, -1, 1.25, 2, -1
271 -> 23, -2, 0.75, 5, -1.5
272 -> 23, -2, 1.25, 2, -1
273 -> 23, -2, 1.75, 2, -0.5
273 -> 23, -5, 0.75, 4, -1
273 -> 23, -1, 1.75, 3, -1.5
273 -> 23, -2, 0.25, 5, -2
273 -> 23, -4, 0.75, 3, -1.5
273 -> 23, -1, 0.75, 1, -1.5
274 -> 23, -1, 1.25, 5, -2
276 -> 23, -5, 0.75, 5, -2
276 -> 23, -4, 1.75, 3, -1
277 -> 23, -1, 1.75, 5, -0.5
278 -> 23, -3, 0.25, 4, -1.5
279 -> 23, -1, 0.75, 5, -1
281 -> 23, -1, 0.75, 3, -2
281 -> 23, -2, 0.75, 4, -1
282 -> 23, -4, 0.75, 1, -1
283 -> 23, -2, 1.25, 1, -1
283 -> 23, -3, 1.25, 2, -1
284 -> 23, -5, 0.75, 5, -1.5
284 -> 23, -1, 0.25, 4, -2
284 -> 23, -2, 1.25, 4, -0.5
285 -> 23, -1, 1.25, 3, -1
285 -> 23, -5, 1.25, 3, -1.5
285 -> 23, -1, 1.75, 4, -0.5
286 -> 23, -2, 0.75, 5, -0.5
286 -> 23, -2, 0.75, 1, -1.5
286 -> 23, -3, 1.25, 2, -2
287 -> 23, -2, 1.25, 1, -2
287 -> 23, -1, 1.25, 4, -1
287 -> 23, -1, 1.75, 4, -1.5
288 -> 23, -1, 0.75, 5, -2
288 -> 23, -1, 0.75, 3, -1
289 -> 23, -1, 1.25, 2, -2
289 -> 23, -1, 0.75, 4, -1.5
290 -> 23, -1, 1.75, 2, -1
290 -> 23, -1, 0.75, 1, -2
291 -> 23, -4, 1.75, 5, -1.5
291 -> 23, -3, 1.75, 5, -1.5
292 -> 23, -1, 0.75, 2, -1.5
292 -> 23, -1, 1.25, 5, -1.5
292 -> 23, -4, 1.75, 4, -1
293 -> 23, -2, 0.25, 4, -2
294 -> 23, -1, 1.25, 1, -2
294 -> 23, -4, 0.25, 5, -2
294 -> 23, -2, 0.25, 3, -2
294 -> 23, -3, 0.75, 5, -1.5
295 -> 23, -1, 0.25, 2, -1
295 -> 23, -3, 0.75, 2, -1.5
296 -> 23, -2, 1.25, 3, -2
296 -> 23, -5, 0.75, 2, -0.5
296 -> 23, -2, 1.75, 3, -0.5
297 -> 23, -1, 1.75, 2, -1.5
298 -> 23, -2, 0.25, 4, -1
299 -> 23, -1, 1.25, 4, -0.5
299 -> 23, -4, 1.25, 2, -1
300 -> 23, -1, 1.25, 1, -1.5
300 -> 23, -1, 0.75, 2, -2
300 -> 23, -5, 1.25, 2, -2
301 -> 23, -5, 1.25, 2, -0.5
301 -> 23, -1, 1.25, 1, -1
302 -> 23, -1, 0.75, 5, -0.5
302 -> 23, -2, 0.75, 3, -0.5
303 -> 23, -4, 0.25, 1, -1
303 -> 23, -2, 0.75, 2, -0.5
304 -> 23, -2, 0.75, 4, -1.5
304 -> 23, -4, 0.25, 2, -1
304 -> 23, -1, 0.25, 1, -1.5
304 -> 23, -4, 0.25, 3, -1
305 -> 23, -1, 1.75, 4, -1
305 -> 23, -1, 0.75, 2, -1
305 -> 23, -1, 0.25, 2, -1.5
305 -> 23, -2, 0.25, 2, -1.5
305 -> 23, -3, 0.25, 1, -1.5
306 -> 23, -2, 1.25, 4, -1
306 -> 23, -5, 0.75, 1, -1.5
306 -> 23, -2, 0.25, 5, -0.5
307 -> 23, -3, 0.75, 3, -2
309 -> 23, -5, 0.75, 3, -0.5
309 -> 23, -1, 1.75, 1, -0.5
310 -> 23, -2, 0.25, 3, -1
310 -> 23, -4, 0.25, 1, -1.5
312 -> 23, -4, 1.75, 4, -1.5
313 -> 23, -1, 1.75, 2, -0.5
315 -> 23, -1, 0.25, 1, -2
315 -> 23, -3, 1.25, 4, -1.5
315 -> 23, -1, 0.75, 5, -1.5
315 -> 23, -1, 0.75, 3, -0.5
316 -> 23, -2, 1.75, 1, -1
316 -> 23, -1, 1.25, 5, -0.5
316 -> 23, -3, 1.75, 2, -0.5
318 -> 23, -4, 0.25, 4, -2
318 -> 23, -1, 0.25, 5, -2
318 -> 23, -5, 0.75, 1, -1
318 -> 23, -3, 1.25, 1, -0.5
319 -> 23, -1, 0.75, 2, -0.5
320 -> 23, -2, 0.25, 3, -1.5
320 -> 23, -2, 0.75, 2, -1
320 -> 23, -2, 0.75, 3, -1
321 -> 23, -1, 0.25, 3, -2
322 -> 23, -2, 0.25, 1, -1
322 -> 23, -4, 0.75, 4, -1.5
322 -> 23, -2, 0.25, 2, -1
322 -> 23, -1, 1.75, 3, -0.5
325 -> 23, -1, 0.75, 1, -1
326 -> 23, -5, 1.75, 5, -0.5
326 -> 23, -2, 0.25, 5, -1
326 -> 23, -3, 0.25, 3, -1
328 -> 23, -1, 0.25, 3, -0.5
329 -> 23, -3, 0.25, 2, -1
330 -> 23, -2, 1.25, 5, -0.5
331 -> 23, -2, 1.25, 3, -0.5
334 -> 23, -1, 0.25, 2, -0.5
334 -> 23, -2, 1.25, 5, -1
335 -> 23, -1, 0.25, 3, -1.5
335 -> 23, -4, 0.25, 2, -1.5
336 -> 23, -5, 1.25, 3, -0.5
336 -> 23, -1, 0.25, 4, -1.5
336 -> 23, -1, 1.25, 2, -1.5
336 -> 23, -1, 1.25, 1, -0.5
337 -> 23, -5, 0.75, 4, -1.5
337 -> 23, -1, 1.25, 5, -1
337 -> 23, -1, 1.25, 3, -0.5
337 -> 23, -1, 1.25, 2, -0.5
338 -> 23, -1, 0.25, 3, -1
338 -> 23, -1, 0.25, 1, -0.5
339 -> 23, -5, 1.25, 5, -1.5
341 -> 23, -1, 0.75, 1, -0.5
344 -> 23, -3, 0.75, 2, -1
345 -> 23, -1, 0.25, 1, -1
347 -> 23, -3, 0.25, 5, -0.5
347 -> 23, -1, 0.75, 3, -1.5
348 -> 23, -3, 0.25, 1, -2
348 -> 23, -1, 0.75, 4, -0.5
351 -> 23, -2, 0.75, 1, -0.5
353 -> 23, -3, 0.25, 1, -1
355 -> 23, -1, 0.25, 5, -1
356 -> 23, -3, 0.25, 3, -2
359 -> 23, -1, 0.25, 4, -1
361 -> 23, -4, 0.25, 5, -1
362 -> 23, -5, 0.25, 1, -2
362 -> 23, -5, 0.25, 3, -2
362 -> 23, -5, 0.25, 2, -2
363 -> 23, -4, 0.75, 2, -1
363 -> 23, -4, 0.75, 3, -1
366 -> 23, -4, 0.25, 4, -1
368 -> 23, -2, 0.25, 1, -1.5
373 -> 23, -4, 0.75, 1, -0.5
373 -> 23, -2, 0.25, 2, -0.5
374 -> 23, -3, 1.25, 3, -1
377 -> 23, -4, 0.25, 3, -1.5
378 -> 23, -4, 1.25, 5, -2
380 -> 23, -5, 0.25, 3, -1
380 -> 23, -5, 0.25, 4, -1
382 -> 23, -2, 0.25, 2, -2
384 -> 23, -3, 1.75, 3, -0.5
385 -> 23, -4, 0.25, 4, -1.5
389 -> 23, -4, 0.75, 5, -1
389 -> 23, -4, 0.75, 4, -1
389 -> 23, -2, 0.75, 5, -1
391 -> 23, -3, 1.25, 3, -0.5
391 -> 23, -3, 1.75, 3, -1
391 -> 23, -3, 1.25, 2, -1.5
391 -> 23, -3, 1.75, 4, -1
392 -> 23, -3, 0.75, 5, -0.5
392 -> 23, -2, 0.25, 5, -1.5
392 -> 23, -3, 0.25, 2, -0.5
392 -> 23, -3, 1.25, 5, -1
392 -> 23, -2, 0.25, 4, -1.5
392 -> 23, -3, 1.25, 4, -1
393 -> 23, -3, 0.75, 4, -0.5
393 -> 23, -5, 0.25, 5, -2
393 -> 23, -3, 0.75, 3, -0.5
394 -> 23, -3, 1.25, 2, -0.5
395 -> 23, -3, 1.75, 2, -1
395 -> 23, -3, 0.25, 3, -0.5
395 -> 23, -3, 0.25, 4, -0.5
398 -> 23, -4, 0.75, 5, -0.5
398 -> 23, -4, 0.75, 5, -2
398 -> 23, -4, 0.75, 4, -0.5
400 -> 23, -3, 0.25, 4, -1
403 -> 23, -3, 0.25, 5, -1
405 -> 23, -4, 1.25, 1, -0.5
405 -> 23, -4, 1.25, 2, -0.5
408 -> 23, -5, 0.75, 3, -2
408 -> 23, -5, 0.75, 1, -2
408 -> 23, -5, 0.75, 2, -2
408 -> 23, -5, 1.75, 1, -2
410 -> 23, -3, 0.75, 1, -1
416 -> 23, -5, 0.25, 5, -0.5
416 -> 23, -5, 0.25, 4, -0.5
416 -> 23, -3, 0.25, 1, -0.5
416 -> 23, -5, 0.25, 2, -0.5
416 -> 23, -5, 0.25, 3, -0.5
417 -> 23, -5, 1.75, 3, -1
418 -> 23, -5, 0.25, 1, -0.5
422 -> 23, -3, 0.75, 2, -2
423 -> 23, -2, 0.75, 3, -1.5
423 -> 23, -4, 0.75, 3, -0.5
423 -> 23, -2, 0.75, 2, -1.5
425 -> 23, -3, 0.75, 4, -2
425 -> 23, -5, 0.25, 4, -2
431 -> 23, -5, 0.25, 3, -1.5
431 -> 23, -5, 0.25, 1, -1.5
431 -> 23, -5, 0.25, 4, -1.5
431 -> 23, -5, 0.25, 5, -1.5
431 -> 23, -5, 0.25, 2, -1.5
434 -> 23, -5, 1.25, 5, -0.5
437 -> 23, -1, 0.25, 5, -0.5
