300 -> 77, -5, 0.75, 2, -2
305 -> 77, -5, 1.25, 5, -1
307 -> 77, -2, 1.75, 2, -2
310 -> 77, -4, 0.75, 1, -2
310 -> 77, -4, 1.75, 1, -2
312 -> 77, -4, 0.75, 2, -2
313 -> 77, -4, 0.25, 5, -1
313 -> 77, -4, 1.75, 2, -2
314 -> 77, -4, 0.25, 3, -1
314 -> 77, -4, 0.25, 2, -1
318 -> 77, -5, 0.25, 3, -0.5
318 -> 77, -5, 1.25, 3, -1.5
318 -> 77, -5, 1.25, 2, -1.5
320 -> 77, -3, 1.75, 1, -2
320 -> 77, -3, 1.75, 2, -2
320 -> 77, -5, 1.25, 1, -1.5
322 -> 77, -4, 1.75, 5, -1.5
322 -> 77, -5, 1.75, 5, -1.5
323 -> 77, -3, 1.25, 1, -1.5
323 -> 77, -4, 1.25, 5, -1.5
326 -> 77, -5, 1.25, 5, -2
326 -> 77, -5, 0.25, 1, -1
327 -> 77, -5, 0.25, 2, -1
327 -> 77, -5, 0.75, 2, -1
327 -> 77, -5, 1.75, 3, -1.5
328 -> 77, -1, 1.25, 2, -2
328 -> 77, -5, 0.75, 1, -1.5
328 -> 77, -5, 1.75, 1, -1
330 -> 77, -5, 1.25, 4, -2
330 -> 77, -4, 0.75, 5, -2
331 -> 77, -3, 1.75, 4, -1.5
331 -> 77, -4, 1.25, 3, -2
332 -> 77, -5, 1.25, 3, -2
333 -> 77, -5, 0.25, 5, -2
333 -> 77, -4, 1.75, 5, -2
334 -> 77, -3, 1.25, 2, -1.5
335 -> 77, -4, 0.25, 1, -1.5
335 -> 77, -5, 0.75, 3, -1
336 -> 77, -4, 0.25, 4, -1
336 -> 77, -4, 0.75, 3, -2
337 -> 77, -5, 1.75, 2, -1.5
337 -> 77, -4, 0.75, 2, -1
337 -> 77, -5, 1.25, 5, -1.5
337 -> 77, -3, 1.75, 1, -1.5
338 -> 77, -5, 0.75, 1, -2
338 -> 77, -4, 0.75, 1, -1.5
338 -> 77, -3, 0.25, 5, -2
340 -> 77, -5, 0.75, 5, -2
340 -> 77, -3, 1.75, 1, -1
340 -> 77, -4, 1.25, 2, -2
340 -> 77, -4, 1.25, 1, -2
340 -> 77, -5, 0.75, 3, -2
340 -> 77, -5, 0.25, 3, -1
340 -> 77, -5, 0.75, 4, -2
342 -> 77, -3, 0.25, 2, -1
342 -> 77, -5, 1.75, 4, -1.5
342 -> 77, -5, 1.75, 5, -1
343 -> 77, -3, 1.75, 5, -2
343 -> 77, -4, 1.25, 3, -1.5
343 -> 77, -4, 1.75, 4, -2
346 -> 77, -4, 1.75, 4, -1.5
346 -> 77, -4, 1.75, 3, -1.5
347 -> 77, -3, 1.25, 3, -1.5
