48,1,-1,0.25,1,-0.5
14,1,-1,0.25,1,-1
27,1,-1,0.25,1,-1.5
30,1,-1,0.25,1,-2
22,1,-1,0.25,2,-0.5
28,1,-1,0.25,2,-1
51,1,-1,0.25,2,-1.5
28,1,-1,0.25,2,-2
27,1,-1,0.25,3,-0.5
33,1,-1,0.25,3,-1
32,1,-1,0.25,3,-1.5
27,1,-1,0.25,3,-2
46,1,-1,0.25,4,-0.5
53,1,-1,0.25,4,-1
38,1,-1,0.25,4,-1.5
41,1,-1,0.25,4,-2
50,1,-1,0.25,5,-0.5
52,1,-1,0.25,5,-1
92,1,-1,0.25,5,-1.5
47,1,-1,0.25,5,-2
49,1,-1,0.75,1,-0.5
31,1,-1,0.75,1,-1
52,1,-1,0.75,1,-1.5
27,1,-1,0.75,1,-2
23,1,-1,0.75,2,-0.5
42,1,-1,0.75,2,-1
60,1,-1,0.75,2,-1.5
51,1,-1,0.75,2,-2
47,1,-1,0.75,3,-0.5
40,1,-1,0.75,3,-1
37,1,-1,0.75,3,-1.5
45,1,-1,0.75,3,-2
50,1,-1,0.75,4,-0.5
45,1,-1,0.75,4,-1
52,1,-1,0.75,4,-1.5
60,1,-1,0.75,4,-2
69,1,-1,0.75,5,-0.5
53,1,-1,0.75,5,-1
64,1,-1,0.75,5,-1.5
64,1,-1,0.75,5,-2
113,1,-1,1.25,1,-0.5
104,1,-1,1.25,1,-1
90,1,-1,1.25,1,-1.5
69,1,-1,1.25,1,-2
113,1,-1,1.25,2,-0.5
77,1,-1,1.25,2,-1
79,1,-1,1.25,2,-1.5
102,1,-1,1.25,2,-2
89,1,-1,1.25,3,-0.5
68,1,-1,1.25,3,-1
91,1,-1,1.25,3,-1.5
56,1,-1,1.25,3,-2
90,1,-1,1.25,4,-0.5
87,1,-1,1.25,4,-1
89,1,-1,1.25,4,-1.5
79,1,-1,1.25,4,-2
90,1,-1,1.25,5,-0.5
83,1,-1,1.25,5,-1
86,1,-1,1.25,5,-1.5
67,1,-1,1.25,5,-2
168,1,-1,1.75,1,-0.5
119,1,-1,1.75,1,-1
74,1,-1,1.75,1,-1.5
133,1,-1,1.75,1,-2
148,1,-1,1.75,2,-0.5
123,1,-1,1.75,2,-1
117,1,-1,1.75,2,-1.5
118,1,-1,1.75,2,-2
155,1,-1,1.75,3,-0.5
108,1,-1,1.75,3,-1
134,1,-1,1.75,3,-1.5
95,1,-1,1.75,3,-2
139,1,-1,1.75,4,-0.5
102,1,-1,1.75,4,-1
110,1,-1,1.75,4,-1.5
85,1,-1,1.75,4,-2
145,1,-1,1.75,5,-0.5
90,1,-1,1.75,5,-1
94,1,-1,1.75,5,-1.5
97,1,-1,1.75,5,-2
44,1,-2,0.25,1,-0.5
95,1,-2,0.25,1,-1
300,1,-2,0.25,1,-1.5
17,1,-2,0.25,1,-2
239,1,-2,0.25,2,-0.5
46,1,-2,0.25,2,-1
100,1,-2,0.25,2,-1.5
35,1,-2,0.25,2,-2
18,1,-2,0.25,3,-0.5
39,1,-2,0.25,3,-1
39,1,-2,0.25,3,-1.5
18,1,-2,0.25,3,-2
47,1,-2,0.25,4,-0.5
118,1,-2,0.25,4,-1
55,1,-2,0.25,4,-1.5
58,1,-2,0.25,4,-2
41,1,-2,0.25,5,-0.5
42,1,-2,0.25,5,-1
53,1,-2,0.25,5,-1.5
41,1,-2,0.25,5,-2
37,1,-2,0.75,1,-0.5
16,1,-2,0.75,1,-1
52,1,-2,0.75,1,-1.5
29,1,-2,0.75,1,-2
18,1,-2,0.75,2,-0.5
20,1,-2,0.75,2,-1
26,1,-2,0.75,2,-1.5
19,1,-2,0.75,2,-2
44,1,-2,0.75,3,-0.5
